text,lang
labas 3lik?,darija_latin
wach rak mlih wla la?,darija_latin
rani mcharja bzaaaf,darija_latin
ghedwa ndirou barbekiou,darija_latin
3lach matji ma3ana?,darija_latin
houwa gal biha,darija_latin
chof nta wch dir,darija_latin
nsit wach gltlek,darija_latin
ykoun khir inchallah,darija_latin
"hadi smitha darija, machi 3arbiya",darija_latin
wach rak labas?,darija_latin
hadi hiya lmas2ala!,darija_latin
sma3t chi 7aja 3la Djezzy?,darija_latin
bghit nmchi l plage lyoma,darija_latin
ya kho rani ta3ban,darija_latin
machi kol wa7ed yefham,darija_latin
kifach ndir had l probleme?,darija_latin
rani nstana f taxi,darija_latin
nta daba fin rak?,darija_latin
ma tkhafch rahi bsla,darija_latin
hadchi ma 3jbni ch,darija_latin
9oltlek matdirhach,darija_latin
s7abti jat lyoum,darija_latin
dirna fiesta mbar7,darija_latin
ana f darna daba,darija_latin
khasni nqra chwia,darija_latin
7it rani mdammar,darija_latin
tla3 lia lpressio,darija_latin
golt nji m3ak,darija_latin
malk dayekh haka?,darija_latin
3ayetlouhom o ma raddouch!,darija_latin
chhal kaydkhl l internet f forfait Ooredoo?,darija_latin
djezzy daba 3andha promotion jdida,darija_latin
ma fhemtch kifach ndir configuration 4G,darija_latin
katb9a l connexion t9ta3 wla b slow,darija_latin
ghir ndir recharge kaymchi direct,darija_latin
wach fbalek bih had l'offre dial Mobilis?,darija_latin
khassni lcode dial wifi li f modem,darija_latin
orange kayn 3andhom forfait b 1000da,darija_latin
kaymchi l credit bzzaf fl appels,darija_latin
"connecti b slow daba, chrah lia chwiya",darija_latin
ana m3a djezzy o makanch mouchkil,darija_latin
vodafone kayn fi l kharij b9a ta7t l coverage,darija_latin
3lach ma kayrassilouch sms ta3 confirmation?,darija_latin
ghalou l internet hdouma!,darija_latin
nchouf l'offre o ndir comparaison,darija_latin
dir speedtest o chof l debit,darija_latin
forfait yjib lik 10go f l mois,darija_latin
"connecti b wifi mliha, 4g msr3ach",darija_latin
bghit ndir portabilite l djezzy,darija_latin
ooredoo 3andha meilleure couverture f blasti,darija_latin
kay3tih 1go bonus m3a kol recharge,darija_latin
"rani 3ayet b djezzy, makansma3ch mzyan",darija_latin
kayji sms m3a code verification b tard,darija_latin
khasni na3rf kifach nsift les MMS,darija_latin
mchat lia l solde bla manfhaam kifach,darija_latin
"ma kaynch signal daba, daba rah b zero",darija_latin
bghit ntlansi l internet b chi forfait qlil,darija_latin
mobiles dial Mobilis f magasin wala ghalin,darija_latin
f smartphone dyali 4G ma tsirach mzyan,darija_latin
dirt recharge fl boutique ma tchargatch,darija_latin
ooredoo 3tawni 5go b 1000da li wa3ra,darija_latin
connexion tfsa5at wahda wahda,darija_latin
kayb9aw ychargiw lia des services manbghithomch,darija_latin
"li f Orange, wach kayna 5G daba?",darija_latin
smiyti ma b9atch mli tchargat la sim,darija_latin
f l apli makanch option dial l'offres jdod,darija_latin
djezzy kayb3at l sms b b tard bzaf,darija_latin
rani n3ayet w tsdd liya daba daba,darija_latin
mat9awnach l net f l 3roub,darija_latin
"s7abti 3ndha problème m3a djezzy, galat lia kaytsddo 3liha les appels même f wa9t l 3ajla, w daba katsawal wach katsara7 chi solution oula la",darija_latin
"l connexion ta3 ooredoo f had l quartier ma3ndhach stabilité, nhar tji b sur3a zwina w nhar akhor ma katmchi ta l WhatsApp, hadi ma b9atch kayna",darija_latin
"mchat lia l recharge li diriha mn l app, walakin ma zadhach lia l solde, 3awdthom tcontacti l service client w galoli sabri ghir 24h",darija_latin
"téléphone dyali kayb9a ydir erreur f sim dyal mobilis, rah deja jarrabt sim akhra w khdemat normal, daba kansawal wach l sim khsatha remplacement",darija_latin
"dernièrement bdit n7ess b li le forfait kaykhlas bzzaf 3la walou, daba kay9tahmouna bi les SMS mli ndir l recharge ou mli nst3ml internet",darija_latin
"rani 3andi chi su2al, 3lach ooredoo katdir chi bonus ma fhamtch kifach ykhdem? drt recharge b 200da w ghalt lia b 500da data bonus",darija_latin
"kayji l message dyal SFR f portable dyali w ana ma3ndich sim dyalhom, chof wach momkin yakoun chi erreur f l réseau wla l hardware",darija_latin
"ghadi nkoun wa3ra ila kan chi offre li katmchi fiha whatsapp illimité b chi prix ma tssawkch, 7it daba lforfaits ghalin bzaf",darija_latin
"galou lia b li Vodafone f Fransa kay3ti internet illimité f forfait dial 25 euro, wach kayn chi 7aja b7al haka f Mobilis wala djezzy?",darija_latin
"dirt l recharge fl bureau tabac, walakin sms confirmation ma jaach lia daba, tsnint 15 min ou ma kayn walou, tsift sms *611# ma khdmach",darija_latin
"mlli n3ayet l service client dyal mobilis, kay3tiwk chi voix automatique katsawal b darija, walakin ma kanfhamch les choix li kay9dmo",darija_latin
"machi kol wahed y3rf ydir parametrage dyal 4G, daba khasskom tdiru vidéos f darija katsftou f YouTube bach n3rfou kifach nparametriw",darija_latin
"kanhdem b l SIM ooredoo fi modem, walakin daba kay9t3a connexion kol 15 min, khassni n3rf wach problème f sim wla modem",darija_latin
"kont f l plage f Jijel w l reseau djezzy makanssalach du tout, ma3ndhomch couverture hna, li fiha khsskom tdiru mise à jour l réseau",darija_latin
"3rafti chi wahed s3i9, 3ando deux cartes SIM, wa7da dyal Mobilis w wa7da dyal Orange France, kay3raf kifach ykhdem bihom f même temps",darija_latin
"khdemt l app dyal djezzy bash nkhdem l offre, walakin ma chargatch lia data li wa3din biha, daba kanbghik tchoufou chi solution",darija_latin
wach kayn chi offre f Mobilis li katmchi 3la Facebook w TikTok b limit kbira? 7it daba kay9t3a lia l net b sr3a,darija_latin
"sms li katsiftou f offres djezzy ma fhamtch chno katsd wla kifach naktifha, khassna mouchkil dial communication m3a clients",darija_latin
"f ooredoo kan jarrab 3la chi offre, mli nkhdemha katsala lia data b zzrb, walakin makayanch suivi f l app",darija_latin
"kont bghit ndir portabilité mn mobilis l djezzy walakin galoli khasni nstanna 3 jours bach ttsra7, daba t2akhd chwia bzaf",darija_latin
daba wach kayn chi offre f djezzy li katsiftou f Facebook li fyiha WhatsApp ou TikTok illimité b chi prix ma tssawkch?,darija_latin
"ana kont nsift SMS 700 bach nkhdem offre, walakin l offre ma tactivatedch, ghir tls9 lia solde ou jani message gharib",darija_latin
chno l meilleure opérateur li kay3ti couverture mzyana f bled kbira bhal Laghouat? 3lach kolchi kaytkhdem ghir f tlemcen?,darija_latin
"ooredoo 3ndhom chi offres zwina f la pub, walakin mli tdir recharge kat9la mliha ma fihach bonus, hado marketing tricks",darija_latin
"ghadi nkhdem recharge mn barid mob, b7al drt 200da, w f site katban 150da bonus, walakin mli tcharga ma tl9itch bonus",darija_latin
"mlli tsift SMS 530 li kaygol 3la forfait youtub, kayrd lia 'code invalide', hadchi kayb9a ytwrrak",darija_latin
"galou liya chi jma3a f dzair li kaydiru hack 3la forfait dyal l internet, b7al kayfokouha b ssh tunneling, hadi chwiya khatira",darija_latin
"fi 3z l7aja l net kat9ta3 lia, walakin khdam b ooredoo, darori ndir portable mode avion w n3awd nconnecti",darija_latin
"wach 3ndkom chi idée kifach n9iss la consommation dyal data f app djezzy? ghir kayban solde, ma kayban walo f detail",darija_latin
"kont m3a s7abi w fihom li kaydir Orange France f portable, daba l net dyalhom makay9ta3ch, kaygolo bi kayna technologie f l sim",darija_latin
"chi wahed gal lia l reseau f mobilis kaydkhl chi marat m3a SFR mli tkoun b zone frontalière, hadi tkhallat lia l ttarjama",darija_latin
"bghit nkhdem offre li katmchi f 4G++ walakin portable dyali katb9a 3la H+, wach mas2oula l SIM wla l appareil?",darija_latin
"tkhllit f paiement dyal la recharge online, ghalt lia l carte bancaire w daba kayt7sb lia l recharge oula la?",darija_latin
"kont bghit nkhdem 100go m3a djezzy f modem, walakin wach hiya l même qualité dial net b7al fi portable?",darija_latin
"galou f mobilis b li kay3tiw forfait spécial li kaymchi m3a étudiants, fih 10go b prix khfif, wach hado mazal kaynin?",darija_latin
"rani 3andi chi mouchkil m3a notifications dyal djezzy app, katsift sms random b kelmat b7al 'deal' ou 'pack', mafhamtch kifach",darija_latin
"kont f oran w jarrabt ooredoo, b9it mabsout mn vitesse dyal l 4G, b7al ma fhadit liya video f YouTube b chi 5s",darija_latin
"wach l couverture dyal mobilis mzyana f sahara? bghit nkhdem modem l mon projet d'étude fi Béchar, 7it l satellite ghali",darija_latin
"bghit nkhdem forfait dyal 20go, walakin bghit data matsallich fl streaming, katsala lia ghafla",darija_latin
"katji lia notification mn djezzy kaygolo 'bonus khalass 10da', mafhamtch wach hiya recharge ola ma7bossa",darija_latin
wach kayn chi offre fi Orange li katsift SMS mn DZ l frança b chi prix mzyan? 7it daba rakba,darija_latin
"katb9a liaison wifi kaydkhl w ykhrj f modem dyali b ooredoo, khasni n3rf mnin ja l problème",darija_latin
